iter	Passed	Remaining
0	302	78416
1	570	73543
2	847	72637
3	1120	71692
4	1365	69649
5	1645	69648
6	1884	68096
7	2155	67909
8	2426	67659
9	2671	66783
10	2915	65991
11	3178	65693
12	3419	64969
13	3646	64073
14	3869	63204
15	4097	62491
16	4345	62113
17	4600	61851
18	4852	61546
19	5104	61250
20	5313	60474
21	5505	59562
22	5721	58955
23	5947	58481
24	6158	57894
25	6384	57462
26	6586	56836
27	6758	55997
28	6966	55492
29	7172	54991
30	7367	54426
31	7556	53843
32	7717	53088
33	7868	52304
34	8019	51554
35	8170	50839
36	8354	50351
37	8532	49848
38	8728	49463
39	8902	48964
40	9042	48297
41	9179	47647
42	9315	47009
43	9461	46445
44	9599	45865
45	9745	45339
46	9928	44995
47	10118	44691
48	10296	44338
49	10452	43901
50	10584	43374
51	10723	42894
52	10857	42407
53	11028	42071
54	11214	41800
55	11380	41457
56	11547	41123
57	11723	40830
58	11901	40544
59	12045	40151
60	12209	39831
61	12366	39493
62	12505	39103
63	12652	38748
64	12788	38365
65	12920	37979
66	13062	37626
67	13252	37418
68	13426	37167
69	13596	36905
70	13751	36606
71	13917	36341
72	14081	36070
73	14234	35778
74	14408	35541
75	14576	35289
76	14757	35073
77	14918	34809
78	15081	34554
79	15243	34297
80	15386	34002
81	15514	33678
82	15657	33389
83	15788	33080
84	15927	32790
85	16060	32494
86	16194	32202
87	16327	31912
88	16467	31638
89	16601	31358
90	16750	31107
91	16884	30831
92	17025	30573
93	17167	30316
94	17314	30072
95	17462	29832
96	17596	29569
97	17736	29319
98	17875	29070
99	18021	28834
100	18168	28601
101	18312	28366
102	18444	28113
103	18591	27886
104	18739	27662
105	18884	27435
106	19026	27206
107	19170	26980
108	19314	26757
109	19448	26520
110	19596	26304
111	19733	26076
112	19873	25852
113	20010	25626
114	20162	25421
115	20297	25196
116	20437	24979
117	20582	24768
118	20731	24563
119	20868	24346
120	21010	24135
121	21154	23928
122	21292	23716
123	21438	23512
124	21587	23314
125	21727	23106
126	21872	22905
127	22012	22700
128	22151	22494
129	22299	22299
130	22446	22103
131	22604	21919
132	22757	21730
133	22903	21536
134	23043	21336
135	23194	21148
136	23337	20952
137	23478	20756
138	23630	20570
139	23775	20379
140	23921	20189
141	24064	19997
142	24212	19810
143	24353	19618
144	24493	19426
145	24632	19233
146	24780	19048
147	24932	18867
148	25084	18687
149	25230	18502
150	25374	18316
151	25524	18135
152	25662	17946
153	25809	17764
154	25957	17584
155	26092	17395
156	26242	17216
157	26384	17033
158	26530	16852
159	26677	16673
160	26825	16495
161	26964	16311
162	27111	16134
163	27253	15953
164	27390	15770
165	27531	15590
166	27684	15417
167	27829	15239
168	27973	15062
169	28111	14882
170	28257	14707
171	28404	14532
172	28547	14356
173	28696	14183
174	28842	14009
175	28988	13835
176	29124	13657
177	29272	13485
178	29410	13308
179	29553	13135
180	29685	12956
181	29833	12785
182	29987	12617
183	30132	12445
184	30279	12275
185	30425	12104
186	30566	11932
187	30709	11761
188	30846	11587
189	30982	11414
190	31124	11243
191	31264	11072
192	31410	10904
193	31553	10734
194	31704	10568
195	31850	10400
196	31998	10233
197	32137	10063
198	32271	9892
199	32413	9723
200	32555	9555
201	32698	9388
202	32856	9225
203	33003	9059
204	33139	8891
205	33291	8726
206	33433	8560
207	33580	8395
208	33723	8229
209	33867	8063
210	34008	7897
211	34157	7733
212	34303	7569
213	34444	7403
214	34583	7238
215	34725	7073
216	34868	6909
217	35011	6745
218	35157	6582
219	35299	6418
220	35436	6253
221	35574	6089
222	35718	5926
223	35847	5761
224	35976	5596
225	36108	5432
226	36255	5270
227	36405	5109
228	36540	4946
229	36684	4784
230	36827	4623
231	36966	4461
232	37118	4301
233	37265	4140
234	37409	3979
235	37553	3819
236	37704	3659
237	37834	3497
238	37977	3336
239	38112	3176
240	38252	3015
241	38384	2855
242	38513	2694
243	38652	2534
244	38797	2375
245	38945	2216
246	39082	2056
247	39227	1898
248	39369	1739
249	39511	1580
250	39651	1421
251	39786	1263
252	39929	1104
253	40064	946
254	40198	788
255	40336	630
256	40473	472
257	40615	314
258	40755	157
259	40905	0
